Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Karyotype band	Gene name
3	119498532	119525090	q13.33	TIMMDC1
3	119524293	119559602	q13.33	CD80
3	119579268	119589945	q13.33	ADPRH
3	119597842	119629811	q13.33	PLA1A
3	119636457	119665324	q13.33	POPDC2
3	119654513	119677454	q13.33	COX17
3	119703022	119767102	q13.33	MAATS1
3	119780484	119818485	q13.33	NR1I2
3	119821323	120094417	q13.33	GSK3B
3	120164645	120285094	q13.33	GPR156
3	120324509	120349339	q13.33	LRRC58
3	120392293	120451253	q13.33	FSTL1
3	120596309	120602500	q13.33	NDUFB4
3	120628173	120682571	q13.33	HGD
3	120686681	120742993	q13.33	RABL3
3	120742637	120783069	q13.33	GTF2E1
3	120908072	121424761	q13.33	STXBP5L
3	121431427	121546641	q13.33	POLQ
3	121570704	121586634	q13.33	ARGFX
3	121593119	121630295	q13.33	FBXO40
3	121631399	121660927	q13.33	HCLS1
3	121663199	121749767	q13.33	GOLGB1
3	121769763	121835079	q13.33	IQCB1
3	121835183	121886526	q13.33	EAF2
3	121894089	121944102	q13.33	SLC15A2
3	121987323	122022204	q13.33	ILDR1
3	122055366	122121139	q13.33	CD86
3	122183683	122291629	q13.33	CASR
3	122325244	122341972	q21.1	CSTA
3	122359591	122383231	q21.1	CCDC58
3	122384176	122412334	q21.1	FAM162A
3	122412332	122416051	q21.1	WDR5B
3	122421949	122514945	q21.1	KPNA1
3	122527924	122564577	q21.1	PARP9
3	122564238	122575203	q21.1	DTX3L
3	122577602	122639047	q21.1	PARP15
3	122680618	122730840	q21.1	PARP14
3	122740003	122793824	q21.1	HSPBAP1
3	122794795	122881139	q21.1	DIRC2
3	122909193	123028605	q21.1	SEMA5B
3	123067062	123225227	q21.1	PDIA5
3	123201927	123274130	q21.1	SEC22A
3	123282296	123449758	q21.1	ADCY5
3	123490820	123585185	q21.1	HACD2
3	123610049	123884331	q21.1	MYLK
3	123897305	123961408	q21.1	CCDC14
3	123968521	123992178	q21.1	ROPN1
3	124080023	124726325	q21.1	KALRN
3	124730366	124749273	q21.2	UMPS
3	124761948	124901418	q21.2	ITGB5
3	124905442	124953819	q21.2	MUC13
3	124965710	125055958	q21.2	HEG1
3	125082636	125212864	q21.2	SLC12A8
3	125225561	125375354	q21.2	ZNF148
3	125446644	125520197	q21.2	SNX4
3	125528858	125595090	q21.2	OSBPL11
3	125929275	125937039	q21.2	ALG1L
3	125969144	125983454	q21.2	ROPN1B
3	126006355	126101561	q21.3	SLC41A3
3	126103562	126197994	q21.3	ALDH1L1
3	126342635	126357442	q21.3	KLF15
3	126394939	126436556	q21.3	CFAP100
3	126437601	126475919	q21.3	ZXDC
3	126481281	126517773	q21.3	UROC1
3	126524283	126543291	q21.3	CHST13
3	126526999	126558965	q21.3	C3orf22
3	126571779	126608555	q21.3	TXNRD3NB
3	126571789	126572636	q21.3	TXNRD3NB
3	126607052	126655155	q21.3	TXNRD3
3	126704220	126960406	q21.3	CHCHD6
3	126988594	127037392	q21.3	PLXNA1
3	127573069	127598251	q21.3	TPRA1
3	127598223	127622436	q21.3	MCM2
3	127629181	127672809	q21.3	PODXL2
3	127672935	127680920	q21.3	ABTB1
3	127689062	127823250	q21.3	MGLL
3	127915232	127987671	q21.3	KBTBD12
3	128051641	128071683	q21.3	SEC61A1
3	128064778	128153914	q21.3	RUVBL1
3	128153454	128408646	q21.3	EEFSEC
3	128462439	128467248	q21.3	DNAJB8
3	128479427	128493185	q21.3	GATA2
3	128619970	128681075	q21.3	RPN1
3	128726122	128814796	q21.3	RAB7A
3	128879596	128916067	q21.3	ACAD9
3	128909866	129002690	q21.3	KIAA1257
3	129001629	129040742	q21.3	EFCC1
3	129060767	129062406	q21.3	GP9
3	129087569	129122801	q21.3	RAB43
3	129087575	129161036	q21.3	ISY1-RAB43
3	129127415	129161293	q21.3	ISY1
3	129169484	129183922	q21.3	CNBP
3	129249606	129277773	q21.3	COPG1
3	129278828	129306186	q21.3	HMCES
3	129314771	129316277	q21.3	H1FX
3	129401321	129428651	q21.3	EFCAB12
3	129430944	129440179	q21.3	MBD4
3	129440036	129520507	q21.3	IFT122
3	129528640	129535169	q22.1	RHO
3	129543214	129551467	q22.1	H1FOO
3	129555175	129606818	q22.1	PLXND1
3	129647792	129893576	q22.1	TMCC1
3	129974305	129977938	q22.1	TRH
3	130560334	130678155	q22.1	COL6A6
3	130678935	130746829	q22.1	PIK3R4
3	130850595	131016712	q22.1	ATP2C1
3	131013875	131027649	q22.1	ASTE1
3	131026850	131350465	q22.1	NEK11
3	131381671	131388830	q22.1	NUDT16
3	131462212	131502983	q22.1	MRPL3
3	131533555	132285410	q22.1	CPNE4
3	132317367	132368298	q22.1	ACPP
3	132417526	132539032	q22.1	DNAJC13
3	132558138	132660723	q22.1	ACAD11
3	132597237	132618967	q22.1	ACKR4
3	132654446	132678097	q22.1	UBA5
3	132680609	132722442	q22.1	NPHP3
3	133038391	133397792	q22.1	TMEM108
3	133399995	133475222	q22.1	BFSP2
3	133573730	133590261	q22.1	CDV3
3	133598175	133661893	q22.1	TOPBP1
3	133745956	133779006	q22.1	TF
3	133784033	133825772	q22.1	SRPRB
3	133824239	133895836	q22.1	RAB6B
3	133928145	133929812	q22.1	C3orf36
3	133932696	134052184	q22.2	SLCO2A1
3	134065303	134250744	q22.2	RYK
3	134355874	134375479	q22.2	AMOTL2
3	134477706	134486716	q22.2	ANAPC13
3	134485743	134575017	q22.2	CEP63
3	134597801	135260467	q22.2	EPHB1
3	134603138	134651636	q22.2	KY
3	135965673	136147891	q22.2	PPP2R3A
3	136148922	136197241	q22.3	MSL2
3	136250306	136337896	q22.3	PCCB
3	136336233	136752403	q22.3	STAG1
3	136818647	136855892	q22.3	SLC35G2
3	136862208	136949823	q22.3	NCK1
3	136946230	137011085	q22.3	IL20RB
3	137764284	137766338	q22.3	SOX14
3	137998735	138033655	q22.3	CLDN18
3	138061990	138115818	q22.3	DZIP1L
3	138123718	138132387	q22.3	A4GNT
3	138161012	138174949	q22.3	DBR1
3	138187248	138298389	q22.3	ARMC8
3	138261437	138329886	q22.3	NME9
3	138347648	138405534	q22.3	MRAS
3	138434586	138481686	q22.3	ESYT3
3	138494344	138594538	q22.3	CEP70
3	138608606	138633376	q22.3	FAIM
3	138652699	138834938	q22.3	PIK3CB
3	138944224	138947140	q22.3	FOXL2
3	138947234	138953451	q22.3	FOXL2NB
3	139005468	139006268	q23	PRR23A
3	139005806	139357223	q23	MRPS22
3	139019031	139020926	q23	PRR23B
3	139042102	139044892	q23	PRR23C
3	139355600	139389732	q23	COPB2
3	139452884	139480747	q23	RBP2
3	139517434	139539829	q23	RBP1
3	139560180	139678017	q23	NMNAT3
3	139935185	140577397	q23	CLSTN2
3	140678039	140701150	q23	TRIM42
3	140941830	140979933	q23	SLC25A36
3	141051402	141148611	q23	SPSB4
3	141228726	141367753	q23	PXYLP1
3	141324213	141449792	q23	ZBTB38
3	141487047	141615342	q23	RASA2
3	141738204	141747560	q23	RNF7
3	141778148	141818490	q23	GRK7
3	141876124	141926514	q23	ATP1B3
3	141944428	142149544	q23	TFDP2
3	142157527	142225607	q23	GK5
3	142306607	142448062	q23	XRN1
3	142449235	142578826	q23	ATR
3	142596387	142713664	q23	PLS1
3	142724074	142807888	q23	TRPC1
3	142815922	142889203	q23	PCOLCE2
3	142949164	142963682	q23	PAQR9
3	142964497	143060546	q23	U2SURP
3	143119331	143124014	q24	CHST2
3	143265222	143848531	q24	SLC9A9
3	143971798	144048719	q24	C3orf58
3	146069440	146163653	q24	PLOD2
3	146192339	146251179	q24	PLSCR4
3	146391421	146495991	q24	PLSCR2
3	146515180	146544864	q24	PLSCR1
3	146576555	146606216	q24	PLSCR5
3	147386046	147406860	q24	ZIC4
3	147393422	147510293	q24	ZIC1
3	148697784	148743008	q24	AGTR1
3	148791102	148860187	q24	CPB1
3	148865256	148897196	q24	CPA3
3	148991341	149027668	q24	GYG1
3	149030127	149086554	q24	HLTF
3	149129584	149173732	q24	HPS3
3	149162410	149222055	q25.1	CP
3	149318498	149334414	q25.1	TM4SF18
3	149369022	149377865	q25.1	TM4SF1
3	149473974	149503281	q25.1	TM4SF4
3	149517235	149736714	q25.1	WWTR1
3	149738470	149752499	q25.1	COMMD2
3	149761100	149968385	q25.1	ANKUB1
3	149812708	149962139	q25.1	RNF13
3	149964904	150050788	q25.1	PFN2
3	150408335	150466431	q25.1	TSC22D2
3	150541994	150603228	q25.1	SERP1
3	150546678	150584242	q25.1	EIF2A
3	150602875	150630445	q25.1	SELENOT
3	150659885	150703971	q25.1	ERICH6
3	150741127	150763477	q25.1	SIAH2
3	150926163	150972999	q25.1	CLRN1
3	151085697	151437072	q25.1	MED12L
3	151197832	151203201	q25.1	GPR171
3	151212117	151278467	q25.1	P2RY14
3	151294086	151316952	q25.1	GPR87
3	151326312	151329548	q25.1	P2RY13
3	151337380	151384812	q25.1	P2RY12
3	151425384	151458709	q25.1	IGSF10
3	151733916	151761339	q25.1	AADACL2
3	151814037	151828488	q25.1	AADAC
3	151873643	151884619	q25.1	SUCNR1
3	152243828	152465780	q25.1	MBNL1
3	152834693	152841439	q25.2	P2RY1
3	153162270	153170620	q25.2	RAP2B
3	154121003	154257827	q25.2	ARHGEF26
3	154272546	154324497	q25.2	DHX36
3	154337672	154429715	q25.2	GPR149
3	155024124	155183729	q25.2	MME
3	155375580	155745067	q25.31	PLCH1
3	155762617	155806351	q25.31	C3orf33
3	155821024	155854429	q25.31	SLC33A1
3	155870536	155944026	q25.31	GMPS
3	156037701	156539138	q25.31	KCNAB1
3	156540140	156555184	q25.31	SSR3
3	156673235	156706770	q25.31	TIPARP
3	156825481	157046129	q25.31	LEKR1
3	157146508	157160760	q25.31	CCNL1
3	157259742	157533619	q25.32	VEPH1
3	157436789	157443628	q25.32	PTX3
3	157543246	157677749	q25.32	PQLC2L
3	158095954	158106503	q25.32	SHOX2
3	158105855	158545730	q25.32	RSRC1
3	158571163	158607252	q25.32	MLF1
3	158644278	158692575	q25.32	GFM1
3	158645822	158672693	q25.32	LXN
3	158696892	158732696	q25.32	RARRES1
3	158732198	158829719	q25.32	MFSD1
3	158962235	159897366	q25.32	IQCJ-SCHIP1
3	158962928	159266307	q25.32	IQCJ
3	159839861	159897360	q25.33	SCHIP1
3	159988750	159996019	q25.33	IL12A
3	160225496	160228213	q25.33	C3orf80
3	160256986	160399880	q25.33	IFT80
3	160399274	160434962	q25.33	SMC4
3	160432445	160485773	q25.33	TRIM59
3	160494995	160565588	q25.33	KPNA4
3	160677159	160678452	q25.33	ARL14
3	160755602	161078907	q25.33	PPM1L
3	161083883	161105384	q26.1	B3GALNT1
3	161104696	161253532	q26.1	NMD3
3	161344792	161372880	q26.1	SPTSSB
3	161496808	161503942	q26.1	OTOL1
3	164978898	165078495	q26.1	SI
3	165186720	165197109	q26.1	SLITRK3
3	165772904	165837472	q26.1	BCHE
3	167240287	167381346	q26.1	ZBBX
3	167441789	167479004	q26.1	SERPINI2
3	167478684	167653983	q26.1	WDR49
3	167683298	167734939	q26.1	PDCD10
3	167735243	167825568	q26.1	SERPINI1
3	168008677	168095975	q26.2	GOLIM4
3	169083499	169663618	q26.2	MECOM
3	169764610	169765060	q26.2	TERC
3	169766921	169769895	q26.2	ACTRT3
3	169772831	169789716	q26.2	MYNN
3	169793428	169812986	q26.2	LRRC34
3	169821922	169837775	q26.2	LRRIQ4
3	169839179	169869930	q26.2	LRRC31
3	169911572	169939175	q26.2	SAMD7
3	169966635	169998373	q26.2	SEC62
3	170037929	170085403	q26.2	GPR160
3	170086732	170181749	q26.2	PHC3
3	170222365	170305981	q26.2	PRKCI
3	170357678	170396835	q26.2	SKIL
3	170418865	170860380	q26.2	CLDN11
3	170459584	170586074	q26.2	SLC7A14
3	170864875	170870483	q26.2	RPL22L1
3	170888415	170908693	q26.2	EIF5A2
3	170996348	171026750	q26.2	SLC2A2
3	171061339	171460408	q26.31	TNIK
3	171600405	171810950	q26.31	PLD1
3	171843349	171938715	q26.31	TMEM212
3	172039628	172401665	q26.31	FNDC3B
3	172445133	172448456	q26.31	GHSR
3	172505508	172523507	q26.31	TNFSF10
3	172630249	172711218	q26.31	NCEH1
3	172750682	172821474	q26.31	ECT2
3	172889358	173141268	q26.31	SPATA16
3	173396284	174286644	q26.31	NLGN1
3	174438573	175810552	q26.31	NAALADL2
3	177019340	177228000	q26.32	TBL1XR1
3	178272932	178844429	q26.32	KCNMB2
3	178419123	178843300	q26.32	AC117457.1
3	179017223	179072279	q26.32	ZMAT3
3	179148114	179240093	q26.32	PIK3CA
3	179236691	179267002	q26.32	KCNMB3
3	179322991	179338583	q26.33	ZNF639
3	179347692	179394931	q26.33	MFN1
3	179396089	179451590	q26.33	GNB4
3	179562880	179588408	q26.33	ACTL6A
3	179588285	179604654	q26.33	MRPL47
3	179604690	179627647	q26.33	NDUFB5
3	179652755	179789401	q26.33	USP13
3	179794958	180037053	q26.33	PEX5L
3	180602130	180617828	q26.33	TTC14
3	180602858	180871005	q26.33	CCDC39
3	180868141	180982753	q26.33	FXR1
3	180983709	180989774	q26.33	DNAJC19
3	181711924	181714436	q26.33	SOX2
3	182793500	182921635	q26.33	ATP11B
3	182938074	182985953	q26.33	DCUN1D1
3	183015218	183116075	q27.1	MCCC1
3	183122213	183163839	q27.1	LAMP3
3	183178043	183428778	q27.1	MCF2L2
3	183253244	183298504	q27.1	B3GNT5
3	183487531	183555689	q27.1	KLHL6
3	183635568	183684477	q27.1	KLHL24
3	183697818	183812625	q27.1	YEATS2
3	183815876	183825594	q27.1	MAP6D1
3	183829271	183884933	q27.1	PARL
3	183919934	184018015	q27.1	ABCC5
3	184031544	184039369	q27.1	HTR3D
3	184053047	184060671	q27.1	HTR3C
3	184097064	184106995	q27.1	HTR3E
3	184135038	184145311	q27.1	EIF2B5
3	184155388	184173610	q27.1	DVL3
3	184174689	184184091	q27.1	AP2M1
3	184186023	184194012	q27.1	ABCF3
3	184230429	184242329	q27.1	VWA5B2
3	184242301	184249548	q27.1	ALG3
3	184249650	184293031	q27.1	ECE2
3	184259213	184261463	q27.1	CAMK2N2
3	184298709	184309054	q27.1	PSMD2
3	184314495	184335358	q27.1	EIF4G1
3	184335926	184348421	q27.1	FAM131A
3	184346185	184361651	q27.1	CLCN2
3	184361718	184368596	q27.1	POLR2H
3	184371935	184378144	q27.1	THPO
3	184380073	184390736	q27.1	CHRD
3	184561784	184582409	q27.1	EPHB3
3	184710367	184712002	q27.1	MAGEF1
3	184812143	185052614	q27.2	VPS8
3	185078050	185153014	q27.2	C3orf70
3	185190624	185281990	q27.2	EHHADH
3	185282941	185489097	q27.2	MAP3K13
3	185476496	185499057	q27.2	TMEM41A
3	185506262	185552613	q27.2	LIPH
3	185582496	185633551	q27.2	SENP2
3	185643739	185825056	q27.2	IGF2BP2
3	185915906	185938136	q27.2	TRA2B
3	186046308	186110318	q27.2	ETV5
3	186105668	186362237	q27.3	DGKG
3	186538441	186546702	q27.3	CRYGS
3	186546073	186570543	q27.3	TBCCD1
3	186567403	186585800	q27.3	DNAJB11
3	186612923	186621318	q27.3	AHSG
3	186635969	186653141	q27.3	FETUB
3	186660216	186678240	q27.3	HRG
3	186717276	186743954	q27.3	KNG1
3	186783205	186789900	q27.3	EIF4A2
3	186789880	186807058	q27.3	RFC4
3	186842690	186858463	q27.3	ADIPOQ
3	186930485	187078553	q27.3	ST6GAL1
3	187120948	187180908	q27.3	RPL39L
3	187197486	187201465	q27.3	RTP1
3	187217285	187292022	q27.3	MASP1
3	187368332	187372076	q27.3	RTP4
3	187668906	187670399	q27.3	SST
3	187698259	187702557	q27.3	RTP2
3	187721377	187745727	q27.3	BCL6
3	188153284	188890671	q27.3	LPP
3	188947214	189325304	q28	TPRG1
3	189631416	189897279	q28	TP63
3	189956728	190122437	q28	P3H2
3	190305701	190322475	q28	CLDN1
3	190322541	190412143	q28	CLDN16
3	190428655	190449876	q28	TMEM207
3	190514051	190659750	q28	IL1RAP
3	190852877	190892429	q28	GMNC
3	191199241	191265615	q28	OSTN
3	191267168	191330536	q28	UTS2B
3	191329077	191398670	q28	CCDC50
3	192139395	192767764	q29	FGF12
3	192796815	192918161	q29	MB21D2
3	193241125	193277738	q29	HRASLS
3	193274790	193378843	q29	ATP13A5
3	193402077	193593111	q29	ATP13A4
3	193593144	193697823	q29	OPA1
3	194136145	194138732	q29	HES1
3	194339765	194351328	q29	CPN2
3	194355247	194369743	q29	LRRC15
3	194394821	194398354	q29	GP5
3	194402672	194498364	q29	ATP13A3
3	194587673	194633689	q29	TMEM44
3	194640788	194672477	q29	LSG1
3	194686544	194689037	q29	FAM43A
3	195068279	195271167	q29	XXYLT1
3	195274736	195443078	q29	ACAP2
3	195514425	195543386	q29	PPP1R2
3	195568702	195584205	q29	APOD
3	195720882	195741123	q29	MUC20
3	195746765	195812277	q29	MUC4
3	195863364	195911945	q29	TNK2
3	196027183	196082189	q29	TFRC
3	196197449	196211437	q29	ZDHHC19
3	196211487	196243178	q29	SLC51A
3	196214222	196287957	q29	PCYT1A
3	196291219	196318299	q29	TCTEX1D2
3	196316082	196338373	q29	TM4SF19-TCTEX1D2
3	196319342	196338503	q29	TM4SF19
3	196347662	196432474	q29	UBXN7
3	196468783	196503768	q29	RNF168
3	196506877	196515366	q29	SMCO1
3	196554177	196568674	q29	WDR53
3	196568611	196589059	q29	FBXO45
3	196639686	196662004	q29	NRROS
3	196639775	196736007	q29	PIGX
3	196706277	196712293	q29	CEP19
3	196739857	196832647	q29	PAK2
3	196867856	196934714	q29	SENP5
3	196935402	196942597	q29	NCBP2
3	196946343	196969060	q29	PIGZ
3	196988621	197029816	q29	MELTF
3	197042560	197299300	q29	DLG1
3	197509783	197573323	q29	BDH1
3	197671393	197749727	q29	RUBCN
3	197737179	197787596	q29	FYTTD1
3	197791226	197888436	q29	LRCH3
3	197889075	197960142	q29	IQCG
3	197949987	197956610	q29	RPL35A
3	197960200	198043720	q29	LMLN
4	53285	88211	p16.3	ZNF595
4	124480	163989	p16.3	ZNF718
4	270675	305321	p16.3	ZNF732
4	337814	384864	p16.3	ZNF141
4	425815	499156	p16.3	ZNF721
4	499210	540196	p16.3	PIGG
4	625584	670782	p16.3	PDE6B
4	672436	674338	p16.3	ATP5I
4	673580	682033	p16.3	MYL5
4	681829	689441	p16.3	MFSD7
4	705748	770640	p16.3	PCGF3
4	784957	826198	p16.3	CPLX1
4	849276	932373	p16.3	GAK
4	932387	958656	p16.3	TMEM175
4	958887	986895	p16.3	DGKQ
4	979073	993440	p16.3	SLC26A1
4	986997	1004506	p16.3	IDUA
4	1009936	1026897	p16.3	FGFRL1
4	1056250	1113562	p16.3	RNF212
4	1166932	1208962	p16.3	SPON2
4	1211448	1249953	p16.3	CTBP1
4	1289851	1340147	p16.3	MAEA
4	1347266	1395992	p16.3	UVSSA
4	1617915	1684302	p16.3	FAM53A
4	1692800	1712555	p16.3	SLBP
4	1715952	1721358	p16.3	TMEM129
4	1721490	1745176	p16.3	TACC3
4	1793307	1808872	p16.3	FGFR3
4	1811479	1856247	p16.3	LETM1
4	1871424	1982207	p16.3	NSD2
4	1982714	2041903	p16.3	NELFA
4	2041993	2043970	p16.3	C4orf48
4	2059512	2069089	p16.3	NAT8L
4	2071918	2242121	p16.3	POLN
4	2227464	2242164	p16.3	HAUS3
4	2247432	2262294	p16.3	MXD4
4	2269582	2418663	p16.3	ZFYVE28
4	2418974	2462942	p16.3	CFAP99
4	2462220	2625320	p16.3	RNF4
4	2536631	2732565	p16.3	FAM193A
4	2741648	2756376	p16.3	TNIP2
4	2793023	2841098	p16.3	SH3BP2
4	2843857	2930076	p16.3	ADD1
4	2930561	2934859	p16.3	MFSD10
4	2937933	2963385	p16.3	NOP14
4	2963608	3040747	p16.3	GRK4
4	3074681	3243959	p16.3	HTT
4	3244369	3271738	p16.3	MSANTD1
4	3293028	3439913	p16.3	RGS12
4	3441887	3449495	p16.3	HGFAC
4	3463311	3494483	p16.3	DOK7
4	3506376	3532559	p16.3	LRPAP1
4	3766348	3768526	p16.3	ADRA2C
4	4188803	4226889	p16.3	OTOP1
4	4235542	4248212	p16.3	TMEM128
4	4267701	4290169	p16.3	LYAR
4	4290251	4321786	p16.3	ZBTB49
4	4348140	4419058	p16.3	HGNC:18790
4	4415742	4542346	p16.2	STX18
4	4859666	4863936	p16.2	MSX1
4	5014586	5019472	p16.2	CYTL1
4	5051442	5500998	p16.2	STK32B
4	5542772	5709548	p16.2	EVC2
4	5711197	5814305	p16.2	EVC
4	5748084	5893058	p16.2	CRMP1
4	6026199	6200591	p16.1	JAKMIP1
4	6269849	6303265	p16.1	WFS1
4	6320578	6563600	p16.1	PPP2R2C
4	6575175	6623362	p16.1	MAN2B2
4	6640091	6642745	p16.1	MRFAP1
4	6693069	6697170	p16.1	S100P
4	6707701	6709880	p16.1	MRFAP1L1
4	6716055	6717671	p16.1	BLOC1S4
4	6781375	6884170	p16.1	KIAA0232
4	6909242	7033118	p16.1	TBC1D14
4	7040849	7042939	p16.1	CCDC96
4	7041899	7057952	p16.1	TADA2B
4	7058906	7068197	p16.1	GRPEL1
4	7192538	7742836	p16.1	SORCS2
4	7430294	7434973	p16.1	PSAPL1
4	7758714	7939926	p16.1	AFAP1
4	7965310	8158832	p16.1	ABLIM2
4	8182072	8241803	p16.1	SH3TC1
4	8269765	8307111	p16.1	HTRA3
4	8366282	8440723	p16.1	ACOX3
4	8436140	8493531	p16.1	TRMT44
4	8558725	8619761	p16.1	GPR78
4	8592660	8619759	p16.1	CPZ
4	8846076	8871817	p16.1	HMX1
4	9210657	9212608	p16.1	USP17L10
4	9215405	9217356	p16.1	USP17L11
4	9220152	9221744	p16.1	USP17L12
4	9224896	9226847	p16.1	USP17L13
4	9234385	9236334	p16.1	USP17L15
4	9243879	9245830	p16.1	USP17L17
4	9248630	9250581	p16.1	USP17L18
4	9253378	9255329	p16.1	USP17L19
4	9258124	9260075	p16.1	USP17L20
4	9262872	9264823	p16.1	USP17L21
4	9267619	9269570	p16.1	USP17L22
4	9325165	9327116	p16.1	USP17L24
4	9329911	9331862	p16.1	USP17L25
4	9334658	9336609	p16.1	USP17L26
4	9339403	9340995	p16.1	USP17L5
4	9344148	9345740	p16.1	USP17L27
4	9348893	9350485	p16.1	USP17L28
4	9353638	9355230	p16.1	USP17L29
4	9363129	9364721	p16.1	USP17L30
4	9444534	9450514	p16.1	DEFB131A
4	9771153	10054936	p16.1	SLC2A9
4	9781680	9784009	p16.1	DRD5
4	10074339	10116949	p16.1	WDR1
4	10439874	10457410	p16.1	ZNF518B
4	10486395	10684865	p16.1	CLNK
4	11393150	11429765	p15.33	HS3ST1
4	13361354	13484365	p15.33	RAB28
4	13540830	13545050	p15.33	NKX3-2
4	13568738	13627723	p15.33	BOD1L1
4	15002674	15070153	p15.32	CPEB2
4	15339818	15446166	p15.32	C1QTNF7
4	15469865	15601557	p15.32	CC2D2A
4	15604539	15681679	p15.32	FBXL5
4	15681662	15705565	p15.32	FAM200B
4	15702950	15738313	p15.32	BST1
4	15778275	15853230	p15.32	CD38
4	15935569	15938740	p15.32	FGFBP1
4	15960243	15969309	p15.32	FGFBP2
4	15963076	16084378	p15.32	PROM1
4	16160505	16227410	p15.32	TAPT1
4	16501541	16898809	p15.32	LDB2
4	17460261	17512234	p15.32	QDPR
4	17515165	17527104	p15.32	CLRN2
4	17577192	17607972	p15.32	LAP3
4	17614631	17634105	p15.32	MED28
4	17629306	17781512	p15.31	FAM184B
4	17800655	17810758	p15.31	DCAF16
4	17810902	17844862	p15.31	NCAPG
4	17841199	18021876	p15.31	LCORL
4	20253260	20620561	p15.31	SLIT2
4	20696282	20752907	p15.31	PACRGL
4	20728616	21948799	p15.2	KCNIP4
4	22345071	22516054	p15.2	ADGRA3
4	23755041	23904089	p15.2	PPARGC1A
4	24517441	24584550	p15.2	DHX15
4	24789912	24800842	p15.2	SOD3
4	24806117	24980204	p15.2	CCDC149
4	24998847	25030879	p15.2	LGI2
4	25120014	25160442	p15.2	SEPSECS
4	25233975	25279092	p15.2	PI4K2B
4	25312785	25370383	p15.2	ZCCHC4
4	25377213	25418498	p15.2	ANAPC4
4	25655301	25678748	p15.2	SLC34A2
4	25747427	25863760	p15.2	SEL1L3
4	25861830	25929874	p15.2	SMIM20
4	26163455	26435131	p15.2	RBPJ
4	26481400	26490462	p15.2	CCKAR
4	26576437	26755351	p15.2	TBC1D19
4	26857678	27025381	p15.2	STIM2
4	30720415	31146805	p15.1	PCDH7
4	35948221	36244509	p14	ARAP2
4	36281622	36345756	p14	DTHD1
4	37244220	37449465	p14	NWD2
4	37453941	37623495	p14	C4orf19
4	37590800	37686376	p14	RELL1
4	37826633	37862937	p14	PGM2
4	37891087	38139175	p14	TBC1D1
4	37960435	37961125	p14	PTTG2
4	38664196	38701042	p14	KLF3
4	38772239	38782990	p14	TLR10
4	38790677	38856817	p14	TLR1
4	38823715	38856817	p14	TLR6
4	38867677	38945739	p14	FAM114A1
4	38966744	39032922	p14	TMEM156
4	39045039	39126857	p14	KLHL5
4	39182404	39285810	p14	WDR19
4	39287456	39366375	p14	RFC1
4	39406853	39451536	p14	KLB
4	39454124	39458948	p14	RPL9
4	39458587	39485109	p14	LIAS
4	39498755	39528311	p14	UGDH
4	39546330	39639090	p14	SMIM14
4	39698044	39782792	p14	UBE2K
4	39822863	39977956	p14	PDS5A
4	40056826	40158252	p14	N4BP2
4	40191053	40246967	p14	RHOH
4	40335329	40355217	p14	CHRNA9
4	40423267	40630875	p14	RBM47
4	40749897	40809985	p14	NSUN7
4	40810027	41216714	p13	APBB2
4	41256413	41268455	p13	UCHL1
4	41359607	41700044	p13	LIMCH1
4	41744082	41748970	p13	PHOX2B
4	41935120	41960572	p13	TMEM33
4	41981696	41986467	p13	DCAF4L1
4	41990472	42090457	p13	SLC30A9
4	42110938	42152878	p13	BEND4
4	42397839	42402487	p13	SHISA3
4	42408373	42657105	p13	ATP8A1
4	42893267	43030658	p13	GRXCR1
4	44173909	44448807	p13	KCTD8
4	44622065	44678556	p12	YIPF7
4	44678427	44700926	p12	GUF1
4	44682200	44726595	p12	GNPDA2
4	46035769	46124081	p12	GABRG1
4	46248427	46475230	p12	GABRA2
4	46734827	46909235	p12	COX7B2
4	46918900	46994407	p12	GABRA4
4	46993723	47426444	p12	GABRB1
4	47450796	47463719	p12	COMMD8
4	47485288	47593486	p12	ATP10D
4	47593998	47838106	p12	CORIN
4	47847233	47914667	p12	NFXL1
4	47914142	48040173	p12	NIPAL1
4	47935977	48016672	p12	CNGA1
4	48066393	48134256	p12	TXK
4	48135783	48269864	p11	TEC
4	48341322	48426212	p11	SLAIN2
4	48483343	48489196	p11	SLC10A4
4	48490252	48494389	p11	ZAR1
4	48497361	48780322	p11	FRYL
4	48805212	48861817	p11	OCIAD1
4	48885019	48906937	p11	OCIAD2
4	48986247	49062081	p11	CWH43
4	51843000	51916837	q12	DCUN1D4
4	51993702	52017620	q12	LRRC66
4	52020706	52038482	q12	SGCB
4	52051331	52097292	q12	SPATA18
4	52590972	52659335	q12	USP46
4	52862290	52866835	q12	RASL11B
4	52872982	53366075	q12	SCFD2
4	53377643	53460861	q12	FIP1L1
4	53459301	53701405	q12	LNX1
4	54009789	54064690	q12	CHIC2
4	54099523	54102505	q12	GSX2
4	54229097	54298247	q12	PDGFRA
4	54657918	54740715	q12	KIT
4	55078477	55125589	q12	KDR
4	55346109	55373096	q12	SRD5A3
4	55395957	55453397	q12	TMEM165
4	55427903	55547138	q12	CLOCK
4	55556525	55592212	q12	PDCL2
4	55595229	55636698	q12	NMU
4	55853616	55905034	q12	EXOC1
4	55948871	56033363	q12	CEP135
4	56049073	56328625	q12	KIAA1211
